source_term,target_language,target_term,note
会员,en,Membership,Use for subscription membership context
会员,ja,メンバーシップ,
会员,fr,abonnement,
蓝牙,en,Bluetooth,Brand/technical term
蓝牙,ja,Bluetooth,
蓝牙,fr,Bluetooth,
订单,en,Order,
订单,ja,注文,
订单,fr,commande,
购物车,en,Shopping cart,
购物车,ja,ショッピングカート,
购物车,fr,panier,
结算,en,Checkout,Use for the final purchase step
结算,ja,チェックアウト,
结算,fr,passage en caisse,
优惠券,en,Coupon,
优惠券,ja,クーポン,
优惠券,fr,coupon,
折扣,en,Discount,
折扣,ja,割引,
折扣,fr,remise,
运费,en,Shipping fee,
运费,ja,送料,
运费,fr,frais de livraison,
配送,en,Delivery,
配送,ja,配送,
配送,fr,livraison,
物流,en,Logistics,
物流,ja,物流,
物流,fr,logistique,
发票,en,Invoice,
发票,ja,請求書,
发票,fr,facture,
退款,en,Refund,
退款,ja,返金,
退款,fr,remboursement,
退货,en,Return,
退货,ja,返品,
退货,fr,retour,
换货,en,Exchange,
换货,ja,交換,
换货,fr,échange,
收货地址,en,Shipping address,Use for the address used for delivery
收货地址,ja,配送先住所,
收货地址,fr,adresse de livraison,
联系人,en,Contact,
联系人,ja,連絡先,
联系人,fr,contact,
手机号,en,Mobile number,
手机号,ja,携帯電話番号,
手机号,fr,numéro de téléphone portable,
验证码,en,Verification code,
验证码,ja,認証コード,
验证码,fr,code de vérification,
登录,en,Sign in,Use for an account sign-in action
登录,ja,ログイン,
登录,fr,se connecter,
注册,en,Sign up,
注册,ja,新規登録,
注册,fr,s'inscrire,
退出登录,en,Sign out,
退出登录,ja,ログアウト,
退出登录,fr,se déconnecter,
密码,en,Password,
密码,ja,パスワード,
密码,fr,mot de passe,
用户名,en,Username,
用户名,ja,ユーザー名,
用户名,fr,nom d'utilisateur,
账号,en,Account,
账号,ja,アカウント,
账号,fr,compte,
个人资料,en,Profile,
个人资料,ja,プロフィール,
个人资料,fr,profil,
订单号,en,Order number,
订单号,ja,注文番号,
订单号,fr,numéro de commande,
订单状态,en,Order status,
订单状态,ja,注文ステータス,
订单状态,fr,statut de la commande,
待付款,en,Pending payment,
待付款,ja,支払い待ち,
待付款,fr,en attente de paiement,
待发货,en,Awaiting shipment,
待发货,ja,発送待ち,
待发货,fr,en attente d'expédition,
已发货,en,Shipped,
已发货,ja,発送済み,
已发货,fr,expédiée,
已完成,en,Completed,
已完成,ja,完了,
已完成,fr,terminé,
已取消,en,Cancelled,
已取消,ja,キャンセル済み,
已取消,fr,annulée,
支付方式,en,Payment method,
支付方式,ja,支払い方法,
支付方式,fr,mode de paiement,
支付成功,en,Payment successful,
支付成功,ja,支払い完了,
支付成功,fr,paiement réussi,
支付失败,en,Payment failed,
支付失败,ja,支払い失敗,
支付失败,fr,échec du paiement,
余额,en,Balance,
余额,ja,残高,
余额,fr,solde,
积分,en,Points,
积分,ja,ポイント,
积分,fr,points,
会员等级,en,Membership tier,Use for tier or level label
会员等级,ja,会員ランク,
会员等级,fr,niveau d'adhésion,
到期日,en,Expiration date,
到期日,ja,有効期限,
到期日,fr,date d'expiration,
自动续费,en,Auto-renewal,
自动续费,ja,自動更新,
自动续费,fr,renouvellement automatique,
订阅,en,Subscription,
订阅,ja,サブスクリプション,
订阅,fr,abonnement,
通知,en,Notification,
通知,ja,通知,
通知,fr,notification,
推送通知,en,Push notification,
推送通知,ja,プッシュ通知,
推送通知,fr,notification push,
权限,en,Permission,
权限,ja,権限,
权限,fr,autorisation,
位置服务,en,Location services,Use for device location permission context
位置服务,ja,位置情報サービス,
位置服务,fr,services de localisation,
隐私政策,en,Privacy policy,
隐私政策,ja,プライバシーポリシー,
隐私政策,fr,politique de confidentialité,
条款与条件,en,Terms and conditions,
条款与条件,ja,利用規約,
条款与条件,fr,conditions générales,
深色模式,en,Dark mode,
深色模式,ja,ダークモード,
深色模式,fr,mode sombre,
浅色模式,en,Light mode,
浅色模式,ja,ライトモード,
浅色模式,fr,mode clair,
语言设置,en,Language settings,
语言设置,ja,言語設定,
语言设置,fr,paramètres de langue,
清除缓存,en,Clear cache,
清除缓存,ja,キャッシュを消去,
清除缓存,fr,vider le cache,
客服,en,Customer service,
客服,ja,カスタマーサービス,
客服,fr,service client,
