id,source_text,copy_type,max_chars,ui_width_px
btn_001,立即购买,App 按钮,12,120
err_001,网络连接失败，请稍后重试,错误提示,60,320
push_001,你的会员优惠即将过期,Push 通知,80,360
privacy_001,允许我们访问你的位置以推荐附近门店,隐私 / 权限提示,100,360
prod_001,轻薄便携蓝牙耳机，长续航低延迟,商品标题,70,420
btn_002,查看详情,App 按钮,12,120
btn_003,加入购物车,App 按钮,12,140
btn_004,立即领取,App 按钮,12,120
btn_005,去结算,App 按钮,12,120
btn_006,确认支付,App 按钮,12,120
btn_007,保存更改,App 按钮,12,120
btn_008,继续浏览,App 按钮,12,120
btn_009,开始使用,App 按钮,12,120
btn_010,邀请好友,App 按钮,12,120
btn_011,开启通知,App 按钮,12,120
btn_012,联系客服,App 按钮,12,120
btn_013,绑定设备,App 按钮,12,120
btn_014,兑换积分,App 按钮,12,120
btn_015,查看订单,App 按钮,12,120
btn_016,重新加载,App 按钮,12,120
err_002,验证码错误请重新输入,错误提示,60,320
err_003,密码长度不足,错误提示,60,320
err_004,账号或密码不正确,错误提示,60,320
err_005,该商品暂时缺货,错误提示,60,320
err_006,优惠券已失效,错误提示,60,320
err_007,优惠券不适用于当前商品,错误提示,80,360
err_008,支付超时请重试,错误提示,60,320
err_009,支付方式暂不可用,错误提示,60,320
err_010,文件上传失败,错误提示,60,320
err_011,图片格式不支持,错误提示,60,320
err_012,网络繁忙请稍后再试,错误提示,60,320
err_013,地址信息不完整,错误提示,60,320
err_014,订单不存在,错误提示,60,320
err_015,操作过于频繁,错误提示,60,320
err_016,服务暂时不可用,错误提示,60,320
push_002,限时优惠还剩最后一天,Push 通知,80,360
push_003,你有一张优惠券即将到期,Push 通知,80,360
push_004,订单已发货点击查看物流,Push 通知,80,360
push_005,包裹已送达欢迎查收,Push 通知,80,360
push_006,会员积分已到账,Push 通知,80,360
push_007,本周新品已上架,Push 通知,80,360
push_008,你关注的商品正在降价,Push 通知,80,360
push_009,购物车商品库存告急,Push 通知,80,360
push_010,活动即将开始,Push 通知,80,360
push_011,你的退款已处理,Push 通知,80,360
push_012,预约服务即将开始,Push 通知,80,360
push_013,新消息等待查看,Push 通知,80,360
push_014,今日签到可领取积分,Push 通知,80,360
push_015,你的订阅将于明日续费,Push 通知,80,360
push_016,收藏的内容有新更新,Push 通知,80,360
privacy_002,允许我们发送通知,隐私 / 权限提示,100,360
privacy_003,允许访问相机以拍摄照片,隐私 / 权限提示,100,360
privacy_004,允许访问相册以选择图片,隐私 / 权限提示,100,360
privacy_005,允许使用麦克风进行录音,隐私 / 权限提示,100,360
privacy_006,允许应用使用蓝牙,隐私 / 权限提示,100,360
privacy_007,允许应用访问日历,隐私 / 权限提示,100,360
privacy_008,允许应用访问通讯录,隐私 / 权限提示,100,360
privacy_009,允许应用使用移动数据,隐私 / 权限提示,100,360
privacy_010,开启位置服务以获取附近优惠,隐私 / 权限提示,100,360
privacy_011,我们会保护你的个人信息,隐私 / 权限提示,100,360
privacy_012,查看隐私政策,隐私 / 权限提示,60,320
privacy_013,管理通知权限,隐私 / 权限提示,60,320
privacy_014,关闭个性化推荐,隐私 / 权限提示,60,320
privacy_015,允许后台刷新内容,隐私 / 权限提示,100,360
privacy_016,仅在使用期间允许访问位置,隐私 / 权限提示,100,360
prod_002,主动降噪无线耳机,商品标题,50,420
prod_003,便携式快充移动电源,商品标题,50,420
prod_004,防水运动智能手表,商品标题,50,420
prod_005,轻量透气跑步鞋,商品标题,50,420
prod_006,可折叠旅行收纳包,商品标题,50,420
prod_007,智能温控保温杯,商品标题,50,420
prod_008,高清广角家用摄像头,商品标题,50,420
prod_009,多功能桌面充电站,商品标题,50,420
prod_010,无线便携榨汁杯,商品标题,50,420
prod_011,真无线开放式耳机,商品标题,50,420
prod_012,超薄防摔手机壳,商品标题,50,420
prod_013,可调节护颈办公枕,商品标题,50,420
prod_014,高弹力瑜伽运动套装,商品标题,50,420
prod_015,静音家用空气净化器,商品标题,50,420
prod_016,大容量轻便双肩包,商品标题,50,420
desc_001,低噪音设计让你专注每一次聆听,商品描述,120,420
desc_002,一键折叠收纳，出差旅行携带更方便,商品描述,120,420
desc_003,多档温度调节满足不同饮品需求,商品描述,120,420
desc_004,柔软亲肤面料适合日常长时间穿着,商品描述,120,420
desc_005,快速配送并提供全程物流追踪,商品描述,120,420
desc_006,支持多设备连接，切换使用更高效,商品描述,120,420
desc_007,高亮屏幕在户外阳光下也清晰可见,商品描述,120,420
desc_008,精准传感器实时记录运动数据,商品描述,120,420
desc_009,防滑底座稳固放置不易倾倒,商品描述,120,420
desc_010,环保包装减少材料使用并方便回收,商品描述,120,420
slogan_001,每一天都值得更好的选择,营销短句 / Slogan,40,360
slogan_002,轻装出发自在生活,营销短句 / Slogan,40,360
slogan_003,让科技融入日常,营销短句 / Slogan,40,360
slogan_004,好物到手即刻享受,营销短句 / Slogan,40,360
slogan_005,品质生活从现在开始,营销短句 / Slogan,40,360
slogan_006,为热爱加一点灵感,营销短句 / Slogan,40,360
slogan_007,把便利带在身边,营销短句 / Slogan,40,360
slogan_008,每次出发都更从容,营销短句 / Slogan,40,360
slogan_009,简约设计陪伴每一天,营销短句 / Slogan,40,360
slogan_010,新鲜好生活一触即达,营销短句 / Slogan,40,360
slogan_011,发现生活的小确幸,营销短句 / Slogan,40,360
slogan_012,为你的生活添彩,营销短句 / Slogan,40,360
slogan_013,轻松开启美好一天,营销短句 / Slogan,40,360
slogan_014,好产品值得被分享,营销短句 / Slogan,40,360
